run_id,network,per_weight,preset_name,time_burn,bio_efficiency,survivor_debuff,camera_uptime,final_val_loss,final_play_rate,norm_loss,norm_rate,combined_score
sweep_deep_q_multibranch_mini_time_burn_focused_per20,deep_q_multibranch_mini,20,time_burn_focused,3.0,1.0,0.5,0.5,168.0087117513021,127.1,0.009986861313259458,0.9999999999920635,0.003994744530065708
sweep_deep_q_multibranch_mini_debuff_focused_per20,deep_q_multibranch_mini,20,debuff_focused,1.0,0.5,3.0,1.0,2097.770222981771,102.3,0.1316758440693042,0.8031746031682288,0.1707655757267844
sweep_deep_q_v1.1_time_burn_focused_per10,deep_q_v1.1,10,time_burn_focused,3.0,1.0,0.5,0.5,10.389507738749186,66.7,4.7539543454329356e-05,0.5206349206307886,0.2876380634389085
sweep_deep_q_v1.1_time_burn_focused_per5,deep_q_v1.1,5,time_burn_focused,3.0,1.0,0.5,0.5,9.635618774096171,60.7,0.0,0.4730158730121189,0.31619047619272866
sweep_deep_q_v1.1_bio_efficiency_focused_per10,deep_q_v1.1,10,bio_efficiency_focused,1.0,3.0,1.0,0.5,123.03632685343425,60.4,0.007150944160551123,0.4706349206311854,0.32047942528550916
sweep_deep_q_v1.1_game_optimal_per20,deep_q_v1.1,20,game_optimal,2.0,1.5,2.5,0.25,474.62140604654945,61.2,0.029321575293065186,0.47698412698034137,0.3255381539290212
sweep_deep_q_v1.1_camera_deemphasized_per20,deep_q_v1.1,20,camera_deemphasized,2.0,1.0,2.0,0.1,399.83553110758464,58.8,0.02460564692944029,0.4579365079328735,0.33508035401205205
sweep_deep_q_v1.1_bio_efficiency_focused_per20,deep_q_v1.1,20,bio_efficiency_focused,1.0,3.0,1.0,0.5,106.09654210408529,56.1,0.00608273694310059,0.43650793650447217,0.3405283328745569
sweep_deep_q_v1.1_time_burn_focused_per20,deep_q_v1.1,20,time_burn_focused,3.0,1.0,0.5,0.5,14.215567874908448,55.5,0.0002888073701899771,0.4317460317426052,0.34106790390251285
sweep_deep_q_v1.1_camera_deemphasized_per5,deep_q_v1.1,5,camera_deemphasized,2.0,1.0,2.0,0.1,326.9333786010742,56.5,0.020008504366685657,0.43968253967905013,0.34419387793924416
sweep_deep_q_v1.1_game_optimal_per5,deep_q_v1.1,5,game_optimal,2.0,1.5,2.5,0.25,480.7627848307292,56.1,0.02970884498033854,0.43650793650447217,0.3499787760894521
sweep_deep_q_v1.1_game_optimal_per10,deep_q_v1.1,10,game_optimal,2.0,1.5,2.5,0.25,420.24073232014973,54.0,0.02589238011591895,0.41984126983793774,0.35845219014360497
sweep_deep_q_v1.1_bio_efficiency_focused_per5,deep_q_v1.1,5,bio_efficiency_focused,1.0,3.0,1.0,0.5,114.5416254679362,51.8,0.006615276118463115,0.40238095237775884,0.3612175390207299
sweep_deep_q_multibranch_mini_bio_efficiency_focused_per5,deep_q_multibranch_mini,5,bio_efficiency_focused,1.0,3.0,1.0,0.5,236.6748509724935,52.2,0.014316884781435984,0.40555555555233685,0.36239342058117224
sweep_deep_q_v1.1_debuff_focused_per10,deep_q_v1.1,10,debuff_focused,1.0,0.5,3.0,1.0,1359.7964416503905,55.4,0.08513989741049324,0.43095238094896066,0.3754845303948209
sweep_deep_q_v1.1_camera_deemphasized_per10,deep_q_v1.1,10,camera_deemphasized,2.0,1.0,2.0,0.1,500.709873453776,49.5,0.030966690009041342,0.3841269841239355,0.3819104855292553
sweep_deep_q_v1.1_debuff_focused_per5,deep_q_v1.1,5,debuff_focused,1.0,0.5,3.0,1.0,1130.9661743164063,52.1,0.07071007160372252,0.40476190475869234,0.3854268857862736
sweep_deep_q_v1.1_debuff_focused_per20,deep_q_v1.1,20,debuff_focused,1.0,0.5,3.0,1.0,1328.554286702474,52.3,0.08316979590696884,0.4063492063459813,0.38945839455519876
sweep_deep_q_multibranch_mini_time_burn_focused_per5,deep_q_multibranch_mini,5,time_burn_focused,3.0,1.0,0.5,0.5,65.63242073059082,41.7,0.0035311067341853098,0.3222222222196649,0.4080791093618752
sweep_deep_q_multibranch_mini_time_burn_focused_per10,deep_q_multibranch_mini,10,time_burn_focused,3.0,1.0,0.5,0.5,118.77318572998047,39.4,0.00688211440949667,0.3039682539658415,0.4203718933842938
sweep_deep_q_multibranch_mini_debuff_focused_per5,deep_q_multibranch_mini,5,debuff_focused,1.0,0.5,3.0,1.0,5174.262744140625,17.3,0.3256766276778903,0.12857142857040815,0.6531277939289112
sweep_deep_q_multibranch_mini_debuff_focused_per10,deep_q_multibranch_mini,10,debuff_focused,1.0,0.5,3.0,1.0,15867.780436197916,1.1,0.9999999999999369,0.0,0.9999999999999748
