run_id,network,per_weight,preset_name,time_burn,bio_efficiency,survivor_debuff,camera_uptime,final_val_loss,final_play_rate,norm_loss,norm_rate,combined_score
sweep_deep_q_multibranch_mini_time_burn_focused_per25,deep_q_multibranch_mini,25,time_burn_focused,3.0,1.0,0.5,0.5,553.2822659810384,143.72222222222223,0.11980366865840132,0.8816025513191673,0.11938180266513074
sweep_deep_q_multibranch_mini_time_burn_focused_per21,deep_q_multibranch_mini,21,time_burn_focused,3.0,1.0,0.5,0.5,341.37327734629315,118.11111111111111,0.07214710940399328,0.6978273868795851,0.14115476051891976
sweep_deep_q_multibranch_mini_time_burn_focused_per13,deep_q_multibranch_mini,13,time_burn_focused,3.0,1.0,0.5,0.5,96.9526086250941,99.94444444444444,0.017178945207847563,0.5674705999560636,0.14178408165867418
sweep_deep_q_anynet_mini_time_burn_focused_per17,deep_q_anynet_mini,17,time_burn_focused,3.0,1.0,0.5,0.5,60.29578971862793,96.83333333333333,0.008935133213136942,0.5451465018896501,0.14271064268230083
sweep_deep_q_multibranch_mini_time_burn_focused_per17,deep_q_multibranch_mini,17,time_burn_focused,3.0,1.0,0.5,0.5,71.83665796120961,97.13888888888889,0.011530577959456355,0.5473390472354586,0.14386969040098188
sweep_deep_q_anynet_mini_burn_lean_per19,deep_q_anynet_mini,19,burn_lean,2.5,0.75,1.5,0.5,62.947232365608215,88.80555555555556,0.00953142048924337,0.4875423559861368,0.1604092875466293
sweep_deep_q_anynet_mini_burn_lean_per17,deep_q_anynet_mini,17,burn_lean,2.5,0.75,1.5,0.5,129.3905404408773,93.13888888888889,0.024473964780301186,0.5186366354357841,0.1615407847154756
sweep_deep_q_anynet_mini_balanced_per21,deep_q_anynet_mini,21,balanced,2.0,0.75,2.0,0.5,184.6190218925476,96.52777777777777,0.03689438835831712,0.5429539565438416,0.1629398848876695
sweep_deep_q_anynet_mini_balanced_per13,deep_q_anynet_mini,13,balanced,2.0,0.75,2.0,0.5,86.02117236455281,87.44444444444444,0.014720556617337094,0.4777755630820809,0.1669717207075117
sweep_deep_q_multibranch_mini_time_burn_focused_per19,deep_q_multibranch_mini,19,time_burn_focused,3.0,1.0,0.5,0.5,888.5145454406738,145.86111111111111,0.19519460461154903,0.8969503687398266,0.1675511126061363
sweep_deep_q_anynet_mini_burn_lean_per11,deep_q_anynet_mini,11,burn_lean,2.5,0.75,1.5,0.5,59.74363257487615,84.41666666666667,0.008810957689444046,0.4560494319281607,0.16935284080416263
